Speed: 0.244359, angle1: 0.469510, angle2: -0.816954, v1: -0.915086, v2: -3.782579, M1: -3.447957, M2: -0.697235
Speed: 0.238023, angle1: 0.458498, angle2: -0.851639, v1: -1.101176, v2: -3.468469, M1: -3.537715, M2: -0.702822
Speed: 0.232114, angle1: 0.445670, angle2: -0.882998, v1: -1.282835, v2: -3.135926, M1: -3.613431, M2: -0.701483
Speed: 0.226672, angle1: 0.431088, angle2: -0.910966, v1: -1.458186, v2: -2.796793, M1: -3.674816, M2: -0.695596
Speed: 0.221660, angle1: 0.414820, angle2: -0.935459, v1: -1.626741, v2: -2.449231, M1: -3.721752, M2: -0.682290
Speed: 0.216999, angle1: 0.396935, angle2: -0.956325, v1: -1.788545, v2: -2.086674, M1: -3.754157, M2: -0.660315
Speed: 0.212697, angle1: 0.377510, angle2: -0.973436, v1: -1.942457, v2: -1.711061, M1: -3.771937, M2: -0.632420
Speed: 0.208842, angle1: 0.356644, angle2: -0.986728, v1: -2.086601, v2: -1.329195, M1: -3.775104, M2: -0.601128
Speed: 0.205516, angle1: 0.334447, angle2: -0.996161, v1: -2.219738, v2: -0.943343, M1: -3.763858, M2: -0.566311
Speed: 0.202766, angle1: 0.311033, angle2: -1.001677, v1: -2.341409, v2: -0.551560, M1: -3.738518, M2: -0.527476
Speed: 0.200659, angle1: 0.286521, angle2: -1.003217, v1: -2.451197, v2: -0.153987, M1: -3.699457, M2: -0.485882
Speed: 0.199295, angle1: 0.261036, angle2: -1.000760, v1: -2.548510, v2: 0.245672, M1: -3.647091, M2: -0.443498
Speed: 0.198778, angle1: 0.234705, angle2: -0.994320, v1: -2.633054, v2: 0.644012, M1: -3.581908, M2: -0.401232
Speed: 0.199181, angle1: 0.207654, angle2: -0.983918, v1: -2.705113, v2: 1.040164, M1: -3.504437, M2: -0.359075
Speed: 0.200555, angle1: 0.180001, angle2: -0.969580, v1: -2.765292, v2: 1.433828, M1: -3.415192, M2: -0.317371
Speed: 0.202952, angle1: 0.151860, angle2: -0.951349, v1: -2.814165, v2: 1.823053, M1: -3.314647, M2: -0.277092
Speed: 0.206416, angle1: 0.123337, angle2: -0.929300, v1: -2.852296, v2: 2.204903, M1: -3.203236, M2: -0.239008
Speed: 0.210963, angle1: 0.094533, angle2: -0.903526, v1: -2.880416, v2: 2.577395, M1: -3.081364, M2: -0.203179
Speed: 0.216581, angle1: 0.065538, angle2: -0.874129, v1: -2.899410, v2: 2.939703, M1: -2.949386, M2: -0.169418
Speed: 0.223237, angle1: 0.036437, angle2: -0.841222, v1: -2.910100, v2: 3.290743, M1: -2.807600, M2: -0.137852
Speed: 0.230883, angle1: 0.007306, angle2: -0.804937, v1: -2.913107, v2: 3.628497, M1: -2.656252, M2: -0.108772
Speed: 0.239450, angle1: -0.021783, angle2: -0.765428, v1: -2.908946, v2: 3.950940, M1: -2.495557, M2: -0.082144
