Speed: 0.130471, angle1: 0.117900, angle2: -0.005223, v1: 0.850428, v2: -1.910397, M1: -0.043855, M2: 0.013145
Speed: 0.130946, angle1: 0.117900, angle2: -0.027783, v1: 0.886811, v2: -2.256020, M1: -0.047033, M2: -0.082999
Speed: 0.131189, angle1: 0.117900, angle2: -0.050120, v1: 0.862877, v2: -2.233636, M1: -0.121179, M2: -0.002964
Speed: 0.131075, angle1: 0.117900, angle2: -0.069508, v1: 0.799777, v2: -1.938850, M1: -0.099036, M2: 0.069638
Speed: 0.130789, angle1: 0.117900, angle2: -0.087653, v1: 0.748925, v2: -1.814483, M1: -0.235639, M2: 0.005979
Speed: 0.131010, angle1: 0.117900, angle2: -0.108814, v1: 0.760958, v2: -2.116135, M1: -0.271196, M2: -0.110208
Speed: 0.130735, angle1: 0.117900, angle2: -0.129855, v1: 0.717524, v2: -2.104022, M1: -0.385428, M2: -0.050546
Speed: 0.130017, angle1: 0.117900, angle2: -0.148356, v1: 0.644385, v2: -1.850094, M1: -0.322413, M2: 0.019818
Speed: 0.128781, angle1: 0.117900, angle2: -0.164043, v1: 0.544403, v2: -1.568775, M1: -0.568186, M2: -0.010699
Speed: 0.128398, angle1: 0.117900, angle2: -0.181894, v1: 0.511960, v2: -1.785013, M1: -0.671047, M2: -0.156223
Speed: 0.127807, angle1: 0.117900, angle2: -0.200981, v1: 0.459210, v2: -1.908721, M1: -0.760757, M2: -0.148560
Speed: 0.126095, angle1: 0.117900, angle2: -0.217184, v1: 0.336591, v2: -1.620369, M1: -0.842835, M2: -0.054704
Speed: 0.123875, angle1: 0.117900, angle2: -0.229872, v1: 0.189311, v2: -1.268782, M1: -1.006423, M2: -0.062808
Speed: 0.122767, angle1: 0.117900, angle2: -0.243699, v1: 0.102708, v2: -1.382672, M1: -1.124711, M2: -0.202946
Speed: 0.121753, angle1: 0.117900, angle2: -0.258985, v1: 0.010663, v2: -1.528589, M1: -1.271874, M2: -0.237632
Speed: 0.119440, angle1: 0.116342, angle2: -0.271258, v1: -0.155832, v2: -1.227267, M1: -1.416444, M2: -0.149880
Speed: 0.117104, angle1: 0.113043, angle2: -0.280241, v1: -0.329878, v2: -0.898346, M1: -1.526759, M2: -0.166339
Speed: 0.116467, angle1: 0.108694, angle2: -0.290148, v1: -0.434901, v2: -0.990662, M1: -1.562392, M2: -0.292014
Speed: 0.116197, angle1: 0.103293, angle2: -0.300464, v1: -0.540080, v2: -1.031612, M1: -1.637989, M2: -0.306552
Speed: 0.115464, angle1: 0.096478, angle2: -0.308037, v1: -0.681493, v2: -0.757357, M1: -1.684119, M2: -0.247687
Speed: 0.115392, angle1: 0.088395, angle2: -0.313233, v1: -0.808322, v2: -0.519612, M1: -1.701061, M2: -0.271622
Speed: 0.116823, angle1: 0.079545, angle2: -0.318658, v1: -0.885032, v2: -0.542473, M1: -1.696763, M2: -0.352239
Speed: 0.119054, angle1: 0.070232, angle2: -0.324413, v1: -0.931219, v2: -0.575453, M1: -1.535684, M2: -0.347257
Speed: 0.120548, angle1: 0.060041, angle2: -0.326974, v1: -1.019116, v2: -0.256096, M1: -1.513880, M2: -0.260562
Speed: 0.122539, angle1: 0.049063, angle2: -0.327074, v1: -1.097817, v2: -0.010026, M1: -1.530586, M2: -0.282115
Speed: 0.126015, angle1: 0.037890, angle2: -0.328098, v1: -1.117333, v2: -0.102374, M1: -1.457622, M2: -0.364037
Speed: 0.129284, angle1: 0.026461, angle2: -0.328329, v1: -1.142909, v2: -0.023181, M1: -1.324504, M2: -0.306920
Speed: 0.132383, angle1: 0.014860, angle2: -0.326905, v1: -1.160031, v2: 0.142437, M1: -1.087433, M2: -0.247708
Speed: 0.134813, angle1: 0.002681, angle2: -0.321986, v1: -1.217893, v2: 0.491883, M1: -1.157871, M2: -0.200677
