Speed: 0.137523, angle1: 0.004048, angle2: -0.322942, v1: -1.165466, v2: 0.226403, M1: -1.241200, M2: -0.271516
Speed: 0.140304, angle1: -0.007986, angle2: -0.317826, v1: -1.203459, v2: 0.511632, M1: -1.102152, M2: -0.215553
Speed: 0.143321, angle1: -0.020241, angle2: -0.310992, v1: -1.225470, v2: 0.683349, M1: -1.025060, M2: -0.224951
Speed: 0.146834, angle1: -0.032271, angle2: -0.304654, v1: -1.202966, v2: 0.633835, M1: -0.846263, M2: -0.251728
Speed: 0.149733, angle1: -0.044040, angle2: -0.297629, v1: -1.176910, v2: 0.702558, M1: -0.590597, M2: -0.178762
Speed: 0.151746, angle1: -0.055867, angle2: -0.287827, v1: -1.182702, v2: 0.980148, M1: -0.503571, M2: -0.099301
Speed: 0.153608, angle1: -0.067834, angle2: -0.275549, v1: -1.196708, v2: 1.227768, M1: -0.513378, M2: -0.094939
Speed: 0.156018, angle1: -0.079357, angle2: -0.264383, v1: -1.152277, v2: 1.116658, M1: -0.373527, M2: -0.160297
Speed: 0.157777, angle1: -0.090502, angle2: -0.253091, v1: -1.114568, v2: 1.129175, M1: -0.220565, M2: -0.101128
Speed: 0.158653, angle1: -0.101550, angle2: -0.239271, v1: -1.104775, v2: 1.382037, M1: -0.067898, M2: -0.006970
Speed: 0.159257, angle1: -0.112458, angle2: -0.223221, v1: -1.090754, v2: 1.604975, M1: 0.040997, M2: 0.013367
Speed: 0.159951, angle1: -0.117900, angle2: -0.207852, v1: -1.029079, v2: 1.536846, M1: 0.176583, M2: -0.033163
Speed: 0.160224, angle1: -0.117900, angle2: -0.192265, v1: -0.982282, v2: 1.558727, M1: 0.211041, M2: 0.001566
Speed: 0.160164, angle1: -0.117900, angle2: -0.173767, v1: -0.989833, v2: 1.849803, M1: 0.116168, M2: 0.063843
Speed: 0.160323, angle1: -0.117900, angle2: -0.154193, v1: -0.976000, v2: 1.957433, M1: 0.111403, M2: 0.021435
Speed: 0.160708, angle1: -0.117900, angle2: -0.135915, v1: -0.933861, v2: 1.827806, M1: 0.060726, M2: -0.044715
Speed: 0.160888, angle1: -0.117900, angle2: -0.117543, v1: -0.914586, v2: 1.837221, M1: 0.041490, M2: -0.010876
Speed: 0.160961, angle1: -0.117900, angle2: -0.096906, v1: -0.932191, v2: 2.063663, M1: 0.012460, M2: 0.042575
Speed: 0.161174, angle1: -0.117900, angle2: -0.075464, v1: -0.930892, v2: 2.144218, M1: 0.004631, M2: 0.006305
Speed: 0.161410, angle1: -0.117900, angle2: -0.055511, v1: -0.895965, v2: 1.995250, M1: 0.000000, M2: -0.052455
Speed: 0.161518, angle1: -0.117900, angle2: -0.035767, v1: -0.879259, v2: 1.974456, M1: 0.004872, M2: -0.019134
Speed: 0.161634, angle1: -0.117900, angle2: -0.014260, v1: -0.892125, v2: 2.150691, M1: 0.014146, M2: 0.033617
Speed: 0.161733, angle1: -0.117900, angle2: 0.007717, v1: -0.884682, v2: 2.197686, M1: 0.038875, M2: 0.006127
Speed: 0.161653, angle1: -0.117900, angle2: 0.028118, v1: -0.845356, v2: 2.040058, M1: 0.052800, M2: -0.043302
Speed: 0.161423, angle1: -0.117900, angle2: 0.047745, v1: -0.811803, v2: 1.962705, M1: 0.117099, M2: -0.013101
Speed: 0.161315, angle1: -0.117900, angle2: 0.068733, v1: -0.808444, v2: 2.098815, M1: 0.150068, M2: 0.047618
Speed: 0.161121, angle1: -0.117900, angle2: 0.090261, v1: -0.791235, v2: 2.152783, M1: 0.185092, M2: 0.034184
Speed: 0.160509, angle1: -0.117900, angle2: 0.109831, v1: -0.734366, v2: 1.956991, M1: 0.214568, M2: -0.023943
Speed: 0.159527, angle1: -0.117900, angle2: 0.127372, v1: -0.660663, v2: 1.754109, M1: 0.385428, M2: 0.000562
Speed: 0.158942, angle1: -0.117900, angle2: 0.146205, v1: -0.630669, v2: 1.883310, M1: 0.472855, M2: 0.100689
Speed: 0.158537, angle1: -0.117900, angle2: 0.166930, v1: -0.610986, v2: 2.072556, M1: 0.487544, M2: 0.121372
Speed: 0.156874, angle1: -0.117900, angle2: 0.184268, v1: -0.499571, v2: 1.733775, M1: 0.625032, M2: 0.007761
Speed: 0.154835, angle1: -0.117900, angle2: 0.198245, v1: -0.374591, v2: 1.397708, M1: 0.781030, M2: 0.032405
Speed: 0.153831, angle1: -0.117900, angle2: 0.213916, v1: -0.316500, v2: 1.567049, M1: 0.897702, M2: 0.182026
Speed: 0.153371, angle1: -0.117900, angle2: 0.233077, v1: -0.283435, v2: 1.916111, M1: 0.926750, M2: 0.234033
Speed: 0.150336, angle1: -0.117900, angle2: 0.246941, v1: -0.098330, v2: 1.386406, M1: 1.149246, M2: 0.041194
Speed: 0.147225, angle1: -0.117059, angle2: 0.256072, v1: 0.084114, v2: 0.913097, M1: 1.235913, M2: 0.070448
Speed: 0.146178, angle1: -0.115334, angle2: 0.267477, v1: 0.172471, v2: 1.140488, M1: 1.404049, M2: 0.283142
Speed: 0.146185, angle1: -0.113081, angle2: 0.283321, v1: 0.225289, v2: 1.584463, M1: 1.486920, M2: 0.364786
Speed: 0.143528, angle1: -0.108913, angle2: 0.293798, v1: 0.416803, v2: 1.047697, M1: 1.561469, M2: 0.136624
Speed: 0.140687, angle1: -0.102681, angle2: 0.297793, v1: 0.623263, v2: 0.399512, M1: 1.614399, M2: 0.121451
Speed: 0.141216, angle1: -0.095709, angle2: 0.304086, v1: 0.697134, v2: 0.629305, M1: 1.673101, M2: 0.368606
Speed: 0.143924, angle1: -0.088817, angle2: 0.316514, v1: 0.689205, v2: 1.242727, M1: 1.625822, M2: 0.486397
Speed: 0.143286, angle1: -0.080395, angle2: 0.322718, v1: 0.842230, v2: 0.620420, M1: 1.627001, M2: 0.187492
Speed: 0.142057, angle1: -0.070060, angle2: 0.320658, v1: 1.033501, v2: -0.205951, M1: 1.686782, M2: 0.138126
Speed: 0.145334, angle1: -0.059659, angle2: 0.322247, v1: 1.040121, v2: 0.158847, M1: 1.576090, M2: 0.434401
Speed: 0.150412, angle1: -0.049877, angle2: 0.330765, v1: 0.978161, v2: 0.851843, M1: 1.563145, M2: 0.542279
Speed: 0.151349, angle1: -0.038852, angle2: 0.331822, v1: 1.102551, v2: 0.105693, M1: 1.493359, M2: 0.173593
Speed: 0.151933, angle1: -0.026469, angle2: 0.324891, v1: 1.238221, v2: -0.693087, M1: 1.358556, M2: 0.119391
Speed: 0.156294, angle1: -0.014337, angle2: 0.321495, v1: 1.213199, v2: -0.339625, M1: 1.320952, M2: 0.405726
Speed: 0.162032, angle1: -0.003210, angle2: 0.325113, v1: 1.112707, v2: 0.361750, M1: 1.196997, M2: 0.495133
Speed: 0.163435, angle1: 0.008900, angle2: 0.320943, v1: 1.210993, v2: -0.416976, M1: 1.121604, M2: 0.104388
Speed: 0.164483, angle1: 0.022033, angle2: 0.309135, v1: 1.313361, v2: -1.180737, M1: 0.948061, M2: 0.055465
Speed: 0.168645, angle1: 0.034577, angle2: 0.301116, v1: 1.254419, v2: -0.801950, M1: 0.847936, M2: 0.326126
Speed: 0.173165, angle1: 0.046069, angle2: 0.298810, v1: 1.149152, v2: -0.230569, M1: 0.729172, M2: 0.367283
