Speed: 0.087504, angle1: 0.132626, angle2: 0.056757, v1: 0.911644, v2: -2.032224, M1: -0.056094, M2: -0.029232
Speed: 0.088269, angle1: 0.141316, angle2: 0.036229, v1: 0.869013, v2: -2.052808, M1: -0.149585, M2: -0.042688
Speed: 0.088793, angle1: 0.149540, angle2: 0.015527, v1: 0.822416, v2: -2.070213, M1: -0.243457, M2: -0.056882
Speed: 0.089065, angle1: 0.157248, angle2: -0.005261, v1: 0.770736, v2: -2.078818, M1: -0.337285, M2: -0.069299
Speed: 0.089067, angle1: 0.164378, angle2: -0.026010, v1: 0.713081, v2: -2.074894, M1: -0.430516, M2: -0.080204
Speed: 0.088791, angle1: 0.170877, angle2: -0.046647, v1: 0.649888, v2: -2.063705, M1: -0.522488, M2: -0.091716
Speed: 0.088237, angle1: 0.176690, angle2: -0.067136, v1: 0.581259, v2: -2.048885, M1: -0.612566, M2: -0.103328
Speed: 0.087395, angle1: 0.181749, angle2: -0.087393, v1: 0.505889, v2: -2.025742, M1: -0.700107, M2: -0.112737
Speed: 0.086256, angle1: 0.185975, angle2: -0.107296, v1: 0.422625, v2: -1.990304, M1: -0.784321, M2: -0.120025
Speed: 0.084838, angle1: 0.189297, angle2: -0.126707, v1: 0.332231, v2: -1.941057, M1: -0.864287, M2: -0.127314
Speed: 0.083203, angle1: 0.191671, angle2: -0.145564, v1: 0.237411, v2: -1.885757, M1: -0.939142, M2: -0.137551
Speed: 0.081427, angle1: 0.193074, angle2: -0.163844, v1: 0.140312, v2: -1.827985, M1: -1.008279, M2: -0.149892
Speed: 0.079576, angle1: 0.193490, angle2: -0.181456, v1: 0.041543, v2: -1.761142, M1: -1.071291, M2: -0.161804
Speed: 0.077726, angle1: 0.192912, angle2: -0.198284, v1: -0.057750, v2: -1.682815, M1: -1.127818, M2: -0.174169
Speed: 0.075983, angle1: 0.191373, angle2: -0.214325, v1: -0.153940, v2: -1.604124, M1: -1.177601, M2: -0.189203
Speed: 0.074415, angle1: 0.188923, angle2: -0.229587, v1: -0.244971, v2: -1.526148, M1: -1.220731, M2: -0.203709
Speed: 0.073040, angle1: 0.185611, angle2: -0.243959, v1: -0.331267, v2: -1.437231, M1: -1.257493, M2: -0.214108
Speed: 0.071886, angle1: 0.181489, angle2: -0.257330, v1: -0.412204, v2: -1.337091, M1: -1.288119, M2: -0.222815
Speed: 0.071011, angle1: 0.176630, angle2: -0.269700, v1: -0.485899, v2: -1.237001, M1: -1.312892, M2: -0.232574
Speed: 0.070425, angle1: 0.171106, angle2: -0.281073, v1: -0.552408, v2: -1.137343, M1: -1.332277, M2: -0.240682
Speed: 0.070094, angle1: 0.164969, angle2: -0.291357, v1: -0.613629, v2: -1.028342, M1: -1.346724, M2: -0.244450
Speed: 0.070004, angle1: 0.158267, angle2: -0.300461, v1: -0.670183, v2: -0.910446, M1: -1.356487, M2: -0.246290
Speed: 0.070169, angle1: 0.151054, angle2: -0.308391, v1: -0.721371, v2: -0.792964, M1: -1.361751, M2: -0.248614
Speed: 0.070577, angle1: 0.143376, angle2: -0.315151, v1: -0.767740, v2: -0.676048, M1: -1.362769, M2: -0.249408
Speed: 0.071181, angle1: 0.135267, angle2: -0.320675, v1: -0.810928, v2: -0.552411, M1: -1.359733, M2: -0.246822
Speed: 0.071965, angle1: 0.126754, angle2: -0.324905, v1: -0.851347, v2: -0.422971, M1: -1.352670, M2: -0.242893
Speed: 0.072935, angle1: 0.117870, angle2: -0.327855, v1: -0.888332, v2: -0.294986, M1: -1.341565, M2: -0.239447
Speed: 0.074079, angle1: 0.108649, angle2: -0.329541, v1: -0.922120, v2: -0.168568, M1: -1.326470, M2: -0.234936
Speed: 0.075363, angle1: 0.099112, angle2: -0.329925, v1: -0.953703, v2: -0.038471, M1: -1.307413, M2: -0.228013
Speed: 0.076772, angle1: 0.089280, angle2: -0.328982, v1: -0.983151, v2: 0.094350, M1: -1.284325, M2: -0.220210
Speed: 0.078314, angle1: 0.079183, angle2: -0.326738, v1: -1.009774, v2: 0.224386, M1: -1.257136, M2: -0.212846
Speed: 0.079976, angle1: 0.068847, angle2: -0.323223, v1: -1.033582, v2: 0.351471, M1: -1.225846, M2: -0.204742
Speed: 0.081732, angle1: 0.058295, angle2: -0.318430, v1: -1.055165, v2: 0.479358, M1: -1.190463, M2: -0.194899
Speed: 0.083569, angle1: 0.047551, angle2: -0.312358, v1: -1.074447, v2: 0.607210, M1: -1.150940, M2: -0.184449
Speed: 0.085489, angle1: 0.036643, angle2: -0.305049, v1: -1.090820, v2: 0.730825, M1: -1.107248, M2: -0.174363
Speed: 0.087475, angle1: 0.025600, angle2: -0.296550, v1: -1.104218, v2: 0.849979, M1: -1.059425, M2: -0.163759
Speed: 0.089506, angle1: 0.014450, angle2: -0.286876, v1: -1.115025, v2: 0.967392, M1: -1.007527, M2: -0.151892
Speed: 0.091566, angle1: 0.003219, angle2: -0.276052, v1: -1.123136, v2: 1.082354, M1: -0.951583, M2: -0.139614
Speed: 0.093649, angle1: -0.008062, angle2: -0.264136, v1: -1.128051, v2: 1.191620, M1: -0.891642, M2: -0.127658
Speed: 0.095735, angle1: -0.019359, angle2: -0.251186, v1: -1.129697, v2: 1.294968, M1: -0.827818, M2: -0.115359
Speed: 0.097801, angle1: -0.030642, angle2: -0.237242, v1: -1.128342, v2: 1.394427, M1: -0.760244, M2: -0.102157
Speed: 0.099829, angle1: -0.041881, angle2: -0.222348, v1: -1.123879, v2: 1.489406, M1: -0.689042, M2: -0.088716
Speed: 0.101805, angle1: -0.053040, angle2: -0.206574, v1: -1.115894, v2: 1.577373, M1: -0.614357, M2: -0.075600
Speed: 0.103707, angle1: -0.064083, angle2: -0.189992, v1: -1.104311, v2: 1.658171, M1: -0.536393, M2: -0.062294
Speed: 0.105512, angle1: -0.074976, angle2: -0.172658, v1: -1.089316, v2: 1.733396, M1: -0.455377, M2: -0.048378
Speed: 0.107199, angle1: -0.085684, angle2: -0.154633, v1: -1.070782, v2: 1.802570, M1: -0.371535, M2: -0.034393
Speed: 0.108751, angle1: -0.096167, angle2: -0.135996, v1: -1.048337, v2: 1.863709, M1: -0.285120, M2: -0.020789
Speed: 0.110145, angle1: -0.106386, angle2: -0.116828, v1: -1.021882, v2: 1.916772, M1: -0.196444, M2: -0.007159
Speed: 0.111359, angle1: -0.116301, angle2: -0.097197, v1: -0.991511, v2: 1.963106, M1: -0.105842, M2: 0.006803
Speed: 0.112376, angle1: -0.125872, angle2: -0.077173, v1: -0.957048, v2: 2.002352, M1: -0.013661, M2: 0.020625
Speed: 0.113177, angle1: -0.135053, angle2: -0.056844, v1: -0.918103, v2: 2.032969, M1: 0.079717, M2: 0.033921
Speed: 0.113745, angle1: -0.143798, angle2: -0.036293, v1: -0.874504, v2: 2.055051, M1: 0.173854, M2: 0.047004
Speed: 0.114063, angle1: -0.152060, angle2: -0.015595, v1: -0.826218, v2: 2.069828, M1: 0.268275, M2: 0.060077
Speed: 0.114120, angle1: -0.159789, angle2: 0.005176, v1: -0.772950, v2: 2.077094, M1: 0.362483, M2: 0.072687
Speed: 0.113904, angle1: -0.166931, angle2: 0.025933, v1: -0.714196, v2: 2.075669, M1: 0.455935, M2: 0.084453
Speed: 0.113404, angle1: -0.173427, angle2: 0.046591, v1: -0.649600, v2: 2.065782, M1: 0.548019, M2: 0.095578
Speed: 0.112616, angle1: -0.179216, angle2: 0.067077, v1: -0.578873, v2: 2.048661, M1: 0.638068, M2: 0.106152
Speed: 0.111536, angle1: -0.184230, angle2: 0.087320, v1: -0.501424, v2: 2.024319, M1: 0.725371, M2: 0.115673
Speed: 0.110164, angle1: -0.188395, angle2: 0.107224, v1: -0.416508, v2: 1.990395, M1: 0.809138, M2: 0.123673
Speed: 0.108517, angle1: -0.191640, angle2: 0.126639, v1: -0.324479, v2: 1.941455, M1: 0.888492, M2: 0.130916
Speed: 0.106659, angle1: -0.193920, angle2: 0.145484, v1: -0.227939, v2: 1.884523, M1: 0.962572, M2: 0.140954
Speed: 0.104676, angle1: -0.195215, angle2: 0.163748, v1: -0.129523, v2: 1.826345, M1: 1.030761, M2: 0.153912
Speed: 0.102638, angle1: -0.195514, angle2: 0.181358, v1: -0.029944, v2: 1.761082, M1: 1.092695, M2: 0.166645
Speed: 0.100618, angle1: -0.194815, angle2: 0.198198, v1: 0.069907, v2: 1.683990, M1: 1.148062, M2: 0.179039
Speed: 0.098712, angle1: -0.193151, angle2: 0.214250, v1: 0.166425, v2: 1.605191, M1: 1.196630, M2: 0.193486
Speed: 0.096990, angle1: -0.190575, angle2: 0.229514, v1: 0.257558, v2: 1.526365, M1: 1.238511, M2: 0.207459
Speed: 0.095472, angle1: -0.187140, angle2: 0.243892, v1: 0.343544, v2: 1.437842, M1: 1.274015, M2: 0.217748
Speed: 0.094183, angle1: -0.182901, angle2: 0.257279, v1: 0.423942, v2: 1.338727, M1: 1.303412, M2: 0.226150
Speed: 0.093172, angle1: -0.177928, angle2: 0.269664, v1: 0.497243, v2: 1.238421, M1: 1.327012, M2: 0.235091
Speed: 0.092450, angle1: -0.172293, angle2: 0.281043, v1: 0.563497, v2: 1.137890, M1: 1.345263, M2: 0.242489
Speed: 0.091986, angle1: -0.166049, angle2: 0.291333, v1: 0.624390, v2: 1.029075, M1: 1.358601, M2: 0.245983
Speed: 0.091764, angle1: -0.159243, angle2: 0.300452, v1: 0.680627, v2: 0.911881, M1: 1.367287, M2: 0.247457
Speed: 0.091794, angle1: -0.151926, angle2: 0.308393, v1: 0.731734, v2: 0.794116, M1: 1.371507, M2: 0.249063
Speed: 0.092063, angle1: -0.144144, angle2: 0.315158, v1: 0.778183, v2: 0.676455, M1: 1.371489, M2: 0.249281
Speed: 0.092532, angle1: -0.135930, angle2: 0.320687, v1: 0.821399, v2: 0.552935, M1: 1.367408, M2: 0.246491
Speed: 0.093182, angle1: -0.127312, angle2: 0.324927, v1: 0.861831, v2: 0.424008, M1: 1.359298, M2: 0.242300
Speed: 0.094017, angle1: -0.118322, angle2: 0.327885, v1: 0.898963, v2: 0.295790, M1: 1.347145, M2: 0.238336
Speed: 0.095025, angle1: -0.108992, angle2: 0.329573, v1: 0.932964, v2: 0.168812, M1: 1.330987, M2: 0.233423
Speed: 0.096176, angle1: -0.099346, angle2: 0.329961, v1: 0.964667, v2: 0.038810, M1: 1.310845, M2: 0.226377
Speed: 0.097457, angle1: -0.089404, angle2: 0.329025, v1: 0.994173, v2: -0.093630, M1: 1.286661, M2: 0.218405
Speed: 0.098869, angle1: -0.079195, angle2: 0.326787, v1: 1.020908, v2: -0.223843, M1: 1.258370, M2: 0.210681
Speed: 0.100403, angle1: -0.068746, angle2: 0.323273, v1: 1.044837, v2: -0.351345, M1: 1.225967, M2: 0.202305
Speed: 0.102033, angle1: -0.058082, angle2: 0.318482, v1: 1.066434, v2: -0.479165, M1: 1.189458, M2: 0.192400
Speed: 0.103748, angle1: -0.047225, angle2: 0.312414, v1: 1.085657, v2: -0.606738, M1: 1.148808, M2: 0.181853
Speed: 0.105545, angle1: -0.036206, angle2: 0.305109, v1: 1.101987, v2: -0.730491, M1: 1.103995, M2: 0.171531
Speed: 0.107410, angle1: -0.025052, angle2: 0.296610, v1: 1.115328, v2: -0.849963, M1: 1.055055, M2: 0.160760
Speed: 0.109321, angle1: -0.013793, angle2: 0.286936, v1: 1.125980, v2: -0.967327, M1: 1.002046, M2: 0.148885
Speed: 0.111262, angle1: -0.002454, angle2: 0.276116, v1: 1.133867, v2: -1.082082, M1: 0.945006, M2: 0.136574
