Speed: 0.092738, angle1: 0.029589, angle2: -0.312091, v1: -1.027178, v2: 0.606872, M1: -1.163861, M2: -0.197955
Speed: 0.094616, angle1: 0.023329, angle2: -0.304776, v1: -1.043467, v2: 0.731454, M1: -1.124895, M2: -0.187699
Speed: 0.096547, angle1: 0.016986, angle2: -0.296250, v1: -1.057024, v2: 0.852584, M1: -1.081807, M2: -0.177410
Speed: 0.098519, angle1: 0.010580, angle2: -0.286566, v1: -1.067756, v2: 0.968410, M1: -1.034629, M2: -0.166845
Speed: 0.100512, angle1: 0.004125, angle2: -0.275748, v1: -1.075864, v2: 1.081882, M1: -0.983412, M2: -0.155077
Speed: 0.102512, angle1: -0.002363, angle2: -0.263823, v1: -1.081310, v2: 1.192452, M1: -0.928198, M2: -0.142885
Speed: 0.104509, angle1: -0.008865, angle2: -0.250864, v1: -1.083611, v2: 1.295920, M1: -0.869048, M2: -0.131002
Speed: 0.106484, angle1: -0.015362, angle2: -0.236915, v1: -1.082938, v2: 1.394929, M1: -0.806083, M2: -0.118276
Speed: 0.108419, angle1: -0.021838, angle2: -0.222028, v1: -1.079323, v2: 1.488626, M1: -0.739421, M2: -0.105085
Speed: 0.110299, angle1: -0.028274, angle2: -0.206251, v1: -1.072649, v2: 1.577758, M1: -0.669192, M2: -0.091579
Speed: 0.112109, angle1: -0.034649, angle2: -0.189666, v1: -1.062507, v2: 1.658457, M1: -0.595552, M2: -0.078466
Speed: 0.113828, angle1: -0.040944, angle2: -0.172340, v1: -1.049111, v2: 1.732606, M1: -0.518717, M2: -0.064693
Speed: 0.115438, angle1: -0.047139, angle2: -0.154316, v1: -1.032518, v2: 1.802369, M1: -0.438895, M2: -0.050313
Speed: 0.116924, angle1: -0.053213, angle2: -0.135681, v1: -1.012272, v2: 1.863571, M1: -0.356307, M2: -0.036608
Speed: 0.118269, angle1: -0.059142, angle2: -0.116515, v1: -0.988135, v2: 1.916517, M1: -0.271237, M2: -0.022910
Speed: 0.119452, angle1: -0.064904, angle2: -0.096895, v1: -0.960337, v2: 1.962080, M1: -0.184010, M2: -0.008820
Speed: 0.120458, angle1: -0.070477, angle2: -0.076882, v1: -0.928875, v2: 2.001245, M1: -0.094947, M2: 0.005514
Speed: 0.121270, angle1: -0.075837, angle2: -0.056552, v1: -0.893364, v2: 2.033049, M1: -0.004386, M2: 0.019364
Speed: 0.121875, angle1: -0.080957, angle2: -0.036007, v1: -0.853270, v2: 2.054440, M1: 0.087277, M2: 0.032407
Speed: 0.122256, angle1: -0.085810, angle2: -0.015325, v1: -0.808829, v2: 2.068229, M1: 0.179574, M2: 0.045786
Speed: 0.122404, angle1: -0.090370, angle2: 0.005436, v1: -0.760048, v2: 2.076072, M1: 0.272044, M2: 0.059194
Speed: 0.122306, angle1: -0.094607, angle2: 0.026189, v1: -0.706197, v2: 2.075318, M1: 0.364206, M2: 0.071472
Speed: 0.121951, angle1: -0.098488, angle2: 0.046839, v1: -0.646773, v2: 2.065061, M1: 0.455489, M2: 0.082772
Speed: 0.121332, angle1: -0.101977, angle2: 0.067308, v1: -0.581608, v2: 2.046839, M1: 0.545256, M2: 0.093706
Speed: 0.120448, angle1: -0.105041, angle2: 0.087536, v1: -0.510531, v2: 2.022795, M1: 0.632832, M2: 0.104138
Speed: 0.119291, angle1: -0.107636, angle2: 0.107447, v1: -0.432606, v2: 1.991162, M1: 0.717511, M2: 0.112900
Speed: 0.117861, angle1: -0.109719, angle2: 0.126910, v1: -0.347148, v2: 1.946274, M1: 0.798474, M2: 0.119759
Speed: 0.116193, angle1: -0.111253, angle2: 0.145787, v1: -0.255581, v2: 1.887692, M1: 0.874821, M2: 0.127388
Speed: 0.114366, angle1: -0.112220, angle2: 0.164047, v1: -0.161170, v2: 1.825976, M1: 0.945775, M2: 0.138762
Speed: 0.112459, angle1: -0.112614, angle2: 0.181669, v1: -0.065745, v2: 1.762234, M1: 1.010873, M2: 0.151679
Speed: 0.110533, angle1: -0.112431, angle2: 0.198543, v1: 0.030483, v2: 1.687403, M1: 1.069820, M2: 0.163497
Speed: 0.108669, angle1: -0.111675, angle2: 0.214560, v1: 0.126035, v2: 1.601727, M1: 1.122330, M2: 0.176237
Speed: 0.106971, angle1: -0.110373, angle2: 0.229745, v1: 0.217076, v2: 1.518474, M1: 1.168251, M2: 0.191942
Speed: 0.105494, angle1: -0.108558, angle2: 0.244098, v1: 0.302336, v2: 1.435317, M1: 1.207802, M2: 0.206177
Speed: 0.104236, angle1: -0.106262, angle2: 0.257494, v1: 0.382780, v2: 1.339576, M1: 1.241321, M2: 0.215842
Speed: 0.103223, angle1: -0.103516, angle2: 0.269828, v1: 0.457671, v2: 1.233390, M1: 1.269037, M2: 0.224358
Speed: 0.102508, angle1: -0.100365, angle2: 0.281129, v1: 0.525126, v2: 1.130099, M1: 1.291244, M2: 0.234271
Speed: 0.102084, angle1: -0.096850, angle2: 0.291390, v1: 0.585853, v2: 1.026083, M1: 1.308420, M2: 0.241661
Speed: 0.101903, angle1: -0.092998, angle2: 0.300510, v1: 0.641927, v2: 0.912011, M1: 1.320960, M2: 0.244631
Speed: 0.101955, angle1: -0.088836, angle2: 0.308407, v1: 0.693668, v2: 0.789685, M1: 1.329050, M2: 0.246172
Speed: 0.102254, angle1: -0.084395, angle2: 0.315112, v1: 0.740179, v2: 0.670542, M1: 1.332838, M2: 0.248605
Speed: 0.102776, angle1: -0.079701, angle2: 0.320619, v1: 0.782413, v2: 0.550723, M1: 1.332558, M2: 0.248773
Speed: 0.103472, angle1: -0.074769, angle2: 0.324861, v1: 0.821959, v2: 0.424104, M1: 1.328347, M2: 0.245687
Speed: 0.104329, angle1: -0.069616, angle2: 0.327792, v1: 0.858904, v2: 0.293141, M1: 1.320181, M2: 0.241675
Speed: 0.105354, angle1: -0.064260, angle2: 0.329432, v1: 0.892590, v2: 0.163959, M1: 1.308028, M2: 0.238086
Speed: 0.106532, angle1: -0.058721, angle2: 0.329804, v1: 0.923253, v2: 0.037259, M1: 1.291924, M2: 0.233467
Speed: 0.107826, angle1: -0.053009, angle2: 0.328871, v1: 0.951859, v2: -0.093301, M1: 1.271881, M2: 0.226270
Speed: 0.109225, angle1: -0.047139, angle2: 0.326615, v1: 0.978437, v2: -0.225658, M1: 1.247821, M2: 0.218381
Speed: 0.110734, angle1: -0.041126, angle2: 0.323067, v1: 1.002212, v2: -0.354779, M1: 1.219665, M2: 0.210914
Speed: 0.112340, angle1: -0.034986, angle2: 0.318265, v1: 1.023236, v2: -0.480146, M1: 1.187419, M2: 0.202725
Speed: 0.114014, angle1: -0.028733, angle2: 0.312205, v1: 1.042105, v2: -0.606047, M1: 1.151089, M2: 0.192670
Speed: 0.115746, angle1: -0.022381, angle2: 0.304886, v1: 1.058749, v2: -0.731890, M1: 1.110631, M2: 0.182002
Speed: 0.117536, angle1: -0.015947, angle2: 0.296363, v1: 1.072395, v2: -0.852276, M1: 1.066015, M2: 0.171931
